Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
Loading model...
Loading dataset...
The dataset has 18,864 samples!
The augumentation is OFF
Loading accelerator...
🚀 Accelerator launching on 1 GPU(s)
Starting training...
 Epochs:   0%|          | 0/10 [00:00<?, ?it/s]
 24%|██▎       | 4448/18864 [51:06<2:45:00,  1.46it/s, Loss=0.271 (L1:0.38, MSE:0.27), Free VRAM=33.3GiB, Time=0h 51m 6s][A
 24%|██▎       | 4448/18864 [51:07<2:45:00,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 7s][A
 24%|██▎       | 4449/18864 [51:07<2:45:01,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 7s][A
 24%|██▎       | 4449/18864 [51:07<2:45:01,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 7s][A
 24%|██▎       | 4450/18864 [51:07<2:44:57,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 7s][A
 24%|██▎       | 4450/18864 [51:08<2:44:57,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 8s][A
 24%|██▎       | 4451/18864 [51:08<2:45:39,  1.45it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 8s][A
 24%|██▎       | 4451/18864 [51:09<2:45:39,  1.45it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 9s][A
 24%|██▎       | 4452/18864 [51:09<2:45:27,  1.45it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 9s][A
 24%|██▎       | 4452/18864 [51:09<2:45:27,  1.45it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 9s][A
 24%|██▎       | 4453/18864 [51:09<2:45:18,  1.45it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 9s][A
 24%|██▎       | 4453/18864 [51:10<2:45:18,  1.45it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 10s][A
 24%|██▎       | 4454/18864 [51:10<2:45:14,  1.45it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 10s][A
 24%|██▎       | 4454/18864 [51:11<2:45:14,  1.45it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 11s][A
 24%|██▎       | 4455/18864 [51:11<2:45:06,  1.45it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 11s][A
 24%|██▎       | 4455/18864 [51:11<2:45:06,  1.45it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 11s][A
 24%|██▎       | 4456/18864 [51:11<2:45:03,  1.45it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 11s][A
 24%|██▎       | 4456/18864 [51:12<2:45:03,  1.45it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 12s][A
 24%|██▎       | 4457/18864 [51:12<2:45:00,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 12s][A
 24%|██▎       | 4457/18864 [51:13<2:45:00,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 13s][A
 24%|██▎       | 4458/18864 [51:13<2:44:56,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 13s][A
 24%|██▎       | 4458/18864 [51:14<2:44:56,  1.46it/s, Loss=0.030 (L1:0.13, MSE:0.03), Free VRAM=33.3GiB, Time=0h 51m 13s][A
 24%|██▎       | 4459/18864 [51:14<2:44:52,  1.46it/s, Loss=0.030 (L1:0.13, MSE:0.03), Free VRAM=33.3GiB, Time=0h 51m 13s][A
 24%|██▎       | 4459/18864 [51:14<2:44:52,  1.46it/s, Loss=0.007 (L1:0.06, MSE:0.01), Free VRAM=33.3GiB, Time=0h 51m 14s][A
 24%|██▎       | 4460/18864 [51:14<2:44:50,  1.46it/s, Loss=0.007 (L1:0.06, MSE:0.01), Free VRAM=33.3GiB, Time=0h 51m 14s][A
 24%|██▎       | 4460/18864 [51:15<2:44:50,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 15s][A
 24%|██▎       | 4461/18864 [51:15<2:44:47,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 15s][A
 24%|██▎       | 4461/18864 [51:16<2:44:47,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 15s][A
 24%|██▎       | 4462/18864 [51:16<2:44:46,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 15s][A
 24%|██▎       | 4462/18864 [51:16<2:44:46,  1.46it/s, Loss=0.869 (L1:0.74, MSE:0.87), Free VRAM=33.3GiB, Time=0h 51m 16s][A
 24%|██▎       | 4463/18864 [51:16<2:44:43,  1.46it/s, Loss=0.869 (L1:0.74, MSE:0.87), Free VRAM=33.3GiB, Time=0h 51m 16s][A
 24%|██▎       | 4463/18864 [51:17<2:44:43,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 17s][A
 24%|██▎       | 4464/18864 [51:17<2:44:42,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 17s][A
 24%|██▎       | 4464/18864 [51:18<2:44:42,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 18s][A
 24%|██▎       | 4465/18864 [51:18<2:44:44,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 18s][A
 24%|██▎       | 4465/18864 [51:18<2:44:44,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 18s][A
 24%|██▎       | 4466/18864 [51:18<2:44:47,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 18s][A
 24%|██▎       | 4466/18864 [51:19<2:44:47,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 19s][A
 24%|██▎       | 4467/18864 [51:19<2:44:47,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 19s][A
 24%|██▎       | 4467/18864 [51:20<2:44:47,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 20s][A
 24%|██▎       | 4468/18864 [51:20<2:44:44,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 20s][A
 24%|██▎       | 4468/18864 [51:20<2:44:44,  1.46it/s, Loss=0.737 (L1:0.67, MSE:0.74), Free VRAM=33.3GiB, Time=0h 51m 20s][A
 24%|██▎       | 4469/18864 [51:20<2:44:40,  1.46it/s, Loss=0.737 (L1:0.67, MSE:0.74), Free VRAM=33.3GiB, Time=0h 51m 20s][A
 24%|██▎       | 4469/18864 [51:21<2:44:40,  1.46it/s, Loss=0.048 (L1:0.17, MSE:0.05), Free VRAM=33.3GiB, Time=0h 51m 21s][A
 24%|██▎       | 4470/18864 [51:21<2:44:38,  1.46it/s, Loss=0.048 (L1:0.17, MSE:0.05), Free VRAM=33.3GiB, Time=0h 51m 21s][A
 24%|██▎       | 4470/18864 [51:22<2:44:38,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 22s][A
 24%|██▎       | 4471/18864 [51:22<2:44:39,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 22s][A
 24%|██▎       | 4471/18864 [51:22<2:44:39,  1.46it/s, Loss=0.022 (L1:0.09, MSE:0.02), Free VRAM=33.3GiB, Time=0h 51m 22s][A
 24%|██▎       | 4472/18864 [51:22<2:44:38,  1.46it/s, Loss=0.022 (L1:0.09, MSE:0.02), Free VRAM=33.3GiB, Time=0h 51m 22s][A
 24%|██▎       | 4472/18864 [51:23<2:44:38,  1.46it/s, Loss=0.002 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 23s][A
 24%|██▎       | 4473/18864 [51:23<2:44:39,  1.46it/s, Loss=0.002 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 23s][A
 24%|██▎       | 4473/18864 [51:24<2:44:39,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 24s][A
 24%|██▎       | 4474/18864 [51:24<2:44:40,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 24s][A
 24%|██▎       | 4474/18864 [51:25<2:44:40,  1.46it/s, Loss=0.019 (L1:0.10, MSE:0.02), Free VRAM=33.3GiB, Time=0h 51m 24s][A
 24%|██▎       | 4475/18864 [51:25<2:44:36,  1.46it/s, Loss=0.019 (L1:0.10, MSE:0.02), Free VRAM=33.3GiB, Time=0h 51m 24s][A
 24%|██▎       | 4475/18864 [51:25<2:44:36,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 25s][A
 24%|██▎       | 4476/18864 [51:25<2:44:35,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 25s][A
 24%|██▎       | 4476/18864 [51:26<2:44:35,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 26s][A
 24%|██▎       | 4477/18864 [51:26<2:44:33,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 26s][A
 24%|██▎       | 4477/18864 [51:27<2:44:33,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 26s][A
 24%|██▎       | 4478/18864 [51:27<2:44:36,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 26s][A
 24%|██▎       | 4478/18864 [51:27<2:44:36,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 27s][A
 24%|██▎       | 4479/18864 [51:27<2:44:35,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 27s][A
 24%|██▎       | 4479/18864 [51:28<2:44:35,  1.46it/s, Loss=0.031 (L1:0.11, MSE:0.03), Free VRAM=33.3GiB, Time=0h 51m 28s][A
 24%|██▎       | 4480/18864 [51:28<2:44:34,  1.46it/s, Loss=0.031 (L1:0.11, MSE:0.03), Free VRAM=33.3GiB, Time=0h 51m 28s][A
 24%|██▎       | 4480/18864 [51:29<2:44:34,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 29s][A
 24%|██▍       | 4481/18864 [51:29<2:44:35,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 29s][A
 24%|██▍       | 4481/18864 [51:29<2:44:35,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 29s][A
 24%|██▍       | 4482/18864 [51:29<2:44:33,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 29s][A
 24%|██▍       | 4482/18864 [51:30<2:44:33,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 30s][A
 24%|██▍       | 4483/18864 [51:30<2:44:34,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 30s][A
 24%|██▍       | 4483/18864 [51:31<2:44:34,  1.46it/s, Loss=0.005 (L1:0.05, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 31s][A
 24%|██▍       | 4484/18864 [51:31<2:44:32,  1.46it/s, Loss=0.005 (L1:0.05, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 31s][A
 24%|██▍       | 4484/18864 [51:31<2:44:32,  1.46it/s, Loss=0.020 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 51m 31s][A
 24%|██▍       | 4485/18864 [51:31<2:44:32,  1.46it/s, Loss=0.020 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 51m 31s][A
 24%|██▍       | 4485/18864 [51:32<2:44:32,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 32s][A
 24%|██▍       | 4486/18864 [51:32<2:44:33,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 32s][A
 24%|██▍       | 4486/18864 [51:33<2:44:33,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 33s][A
 24%|██▍       | 4487/18864 [51:33<2:44:32,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 33s][A
 24%|██▍       | 4487/18864 [51:33<2:44:32,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 33s][A
 24%|██▍       | 4488/18864 [51:33<2:44:28,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 33s][A
 24%|██▍       | 4488/18864 [51:34<2:44:28,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 34s][A
 24%|██▍       | 4489/18864 [51:34<2:44:26,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 34s][A
 24%|██▍       | 4489/18864 [51:35<2:44:26,  1.46it/s, Loss=0.008 (L1:0.06, MSE:0.01), Free VRAM=33.3GiB, Time=0h 51m 35s][A
 24%|██▍       | 4490/18864 [51:35<2:44:25,  1.46it/s, Loss=0.008 (L1:0.06, MSE:0.01), Free VRAM=33.3GiB, Time=0h 51m 35s][A
 24%|██▍       | 4490/18864 [51:36<2:44:25,  1.46it/s, Loss=0.037 (L1:0.14, MSE:0.04), Free VRAM=33.3GiB, Time=0h 51m 35s][A
 24%|██▍       | 4491/18864 [51:36<2:44:26,  1.46it/s, Loss=0.037 (L1:0.14, MSE:0.04), Free VRAM=33.3GiB, Time=0h 51m 35s][A
 24%|██▍       | 4491/18864 [51:36<2:44:26,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 36s][A
 24%|██▍       | 4492/18864 [51:36<2:44:28,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 36s][A
 24%|██▍       | 4492/18864 [51:37<2:44:28,  1.46it/s, Loss=0.013 (L1:0.08, MSE:0.01), Free VRAM=33.3GiB, Time=0h 51m 37s][A
 24%|██▍       | 4493/18864 [51:37<2:44:27,  1.46it/s, Loss=0.013 (L1:0.08, MSE:0.01), Free VRAM=33.3GiB, Time=0h 51m 37s][A
 24%|██▍       | 4493/18864 [51:38<2:44:27,  1.46it/s, Loss=0.006 (L1:0.06, MSE:0.01), Free VRAM=33.3GiB, Time=0h 51m 37s][A
 24%|██▍       | 4494/18864 [51:38<2:44:25,  1.46it/s, Loss=0.006 (L1:0.06, MSE:0.01), Free VRAM=33.3GiB, Time=0h 51m 37s][A
 24%|██▍       | 4494/18864 [51:38<2:44:25,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 38s][A
 24%|██▍       | 4495/18864 [51:38<2:44:27,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 38s][A
 24%|██▍       | 4495/18864 [51:39<2:44:27,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 39s][A
 24%|██▍       | 4496/18864 [51:39<2:44:28,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 39s][A
 24%|██▍       | 4496/18864 [51:40<2:44:28,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 39s][A
 24%|██▍       | 4497/18864 [51:40<2:44:27,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 39s][A
 24%|██▍       | 4497/18864 [51:40<2:44:27,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 40s][A
 24%|██▍       | 4498/18864 [51:40<2:44:23,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 40s][A
 24%|██▍       | 4498/18864 [51:41<2:44:23,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 41s][A
 24%|██▍       | 4499/18864 [51:41<2:44:22,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 41s][A
 24%|██▍       | 4499/18864 [51:42<2:44:22,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 42s][A
 24%|██▍       | 4500/18864 [51:42<2:58:04,  1.34it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 42s][A
 24%|██▍       | 4500/18864 [51:43<2:58:04,  1.34it/s, Loss=0.076 (L1:0.20, MSE:0.08), Free VRAM=33.3GiB, Time=0h 51m 42s][A
 24%|██▍       | 4501/18864 [51:43<2:54:42,  1.37it/s, Loss=0.076 (L1:0.20, MSE:0.08), Free VRAM=33.3GiB, Time=0h 51m 42s][A
 24%|██▍       | 4501/18864 [51:43<2:54:42,  1.37it/s, Loss=0.444 (L1:0.49, MSE:0.44), Free VRAM=33.3GiB, Time=0h 51m 43s][A
 24%|██▍       | 4502/18864 [51:43<2:51:34,  1.40it/s, Loss=0.444 (L1:0.49, MSE:0.44), Free VRAM=33.3GiB, Time=0h 51m 43s][A
 24%|██▍       | 4502/18864 [51:44<2:51:34,  1.40it/s, Loss=0.120 (L1:0.22, MSE:0.12), Free VRAM=33.3GiB, Time=0h 51m 44s][A
 24%|██▍       | 4503/18864 [51:44<2:49:22,  1.41it/s, Loss=0.120 (L1:0.22, MSE:0.12), Free VRAM=33.3GiB, Time=0h 51m 44s][A
 24%|██▍       | 4503/18864 [51:45<2:49:22,  1.41it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 45s][A
 24%|██▍       | 4504/18864 [51:45<2:47:51,  1.43it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 45s][A
 24%|██▍       | 4504/18864 [51:45<2:47:51,  1.43it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 45s][A
 24%|██▍       | 4505/18864 [51:45<2:46:45,  1.44it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 45s][A
 24%|██▍       | 4505/18864 [51:46<2:46:45,  1.44it/s, Loss=0.004 (L1:0.05, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 46s][A
 24%|██▍       | 4506/18864 [51:46<2:45:56,  1.44it/s, Loss=0.004 (L1:0.05, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 46s][A
 24%|██▍       | 4506/18864 [51:47<2:45:56,  1.44it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 47s][A
 24%|██▍       | 4507/18864 [51:47<2:45:25,  1.45it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 47s][A
 24%|██▍       | 4507/18864 [51:47<2:45:25,  1.45it/s, Loss=0.051 (L1:0.17, MSE:0.05), Free VRAM=33.3GiB, Time=0h 51m 47s][A
 24%|██▍       | 4508/18864 [51:47<2:45:05,  1.45it/s, Loss=0.051 (L1:0.17, MSE:0.05), Free VRAM=33.3GiB, Time=0h 51m 47s][A
 24%|██▍       | 4508/18864 [51:48<2:45:05,  1.45it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 48s][A
 24%|██▍       | 4509/18864 [51:48<2:44:51,  1.45it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 48s][A
 24%|██▍       | 4509/18864 [51:49<2:44:51,  1.45it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 49s][A
 24%|██▍       | 4510/18864 [51:49<2:44:42,  1.45it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 49s][A
 24%|██▍       | 4510/18864 [51:49<2:44:42,  1.45it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 49s][A
 24%|██▍       | 4511/18864 [51:49<2:44:32,  1.45it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 49s][A
 24%|██▍       | 4511/18864 [51:50<2:44:32,  1.45it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 50s][A
 24%|██▍       | 4512/18864 [51:50<2:44:25,  1.45it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 50s][A
 24%|██▍       | 4512/18864 [51:51<2:44:25,  1.45it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 51s][A
 24%|██▍       | 4513/18864 [51:51<2:44:21,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 51s][A
 24%|██▍       | 4513/18864 [51:52<2:44:21,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 51s][A
 24%|██▍       | 4514/18864 [51:52<2:44:18,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 51s][A
 24%|██▍       | 4514/18864 [51:52<2:44:18,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 52s][A
 24%|██▍       | 4515/18864 [51:52<2:44:16,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 52s][A
 24%|██▍       | 4515/18864 [51:53<2:44:16,  1.46it/s, Loss=0.305 (L1:0.38, MSE:0.31), Free VRAM=33.3GiB, Time=0h 51m 53s][A
 24%|██▍       | 4516/18864 [51:53<2:44:10,  1.46it/s, Loss=0.305 (L1:0.38, MSE:0.31), Free VRAM=33.3GiB, Time=0h 51m 53s][A
 24%|██▍       | 4516/18864 [51:54<2:44:10,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 53s][A
 24%|██▍       | 4517/18864 [51:54<2:44:10,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 53s][A
 24%|██▍       | 4517/18864 [51:54<2:44:10,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 54s][A
 24%|██▍       | 4518/18864 [51:54<2:44:06,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 54s][A
 24%|██▍       | 4518/18864 [51:55<2:44:06,  1.46it/s, Loss=0.004 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 55s][A
 24%|██▍       | 4519/18864 [51:55<2:44:05,  1.46it/s, Loss=0.004 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 55s][A
 24%|██▍       | 4519/18864 [51:56<2:44:05,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 55s][A
 24%|██▍       | 4520/18864 [51:56<2:44:04,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 55s][A
 24%|██▍       | 4520/18864 [51:56<2:44:04,  1.46it/s, Loss=0.011 (L1:0.08, MSE:0.01), Free VRAM=33.3GiB, Time=0h 51m 56s][A
 24%|██▍       | 4521/18864 [51:56<2:44:07,  1.46it/s, Loss=0.011 (L1:0.08, MSE:0.01), Free VRAM=33.3GiB, Time=0h 51m 56s][A
 24%|██▍       | 4521/18864 [51:57<2:44:07,  1.46it/s, Loss=0.010 (L1:0.08, MSE:0.01), Free VRAM=33.3GiB, Time=0h 51m 57s][A
 24%|██▍       | 4522/18864 [51:57<2:44:07,  1.46it/s, Loss=0.010 (L1:0.08, MSE:0.01), Free VRAM=33.3GiB, Time=0h 51m 57s][A
 24%|██▍       | 4522/18864 [51:58<2:44:07,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 58s][A
 24%|██▍       | 4523/18864 [51:58<2:44:06,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 58s][A
 24%|██▍       | 4523/18864 [51:58<2:44:06,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 58s][A
 24%|██▍       | 4524/18864 [51:58<2:44:03,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 58s][A
 24%|██▍       | 4524/18864 [51:59<2:44:03,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 59s][A
 24%|██▍       | 4525/18864 [51:59<2:44:03,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 51m 59s][A
 24%|██▍       | 4525/18864 [52:00<2:44:03,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 52m 0s] [A
 24%|██▍       | 4526/18864 [52:00<2:44:03,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=0h 52m 0s][A
 24%|██▍       | 4526/18864 [52:00<2:44:03,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=0h 52m 0s][A
